Avg_GDP_Real,Avg_GDP_Pred,index1
45436.685999999994,16665422.776832994,AUT
42658.575999999994,4929663.92316907,BEL
18563.307,1031720.8963421629,BGR
44017.591,11448684.665374408,CAN
32605.90600000001,6459836.340244908,CZE
46682.51500000001,10824666.43867126,DNK
29481.252000000004,604834.380997107,EST
40585.721000000005,2123849.476137094,FIN
38605.67099999999,23148173.991206773,FRA
39753.244,67466999.7329022,GBR
67335.29300000002,1573118.939516011,IRL
33132.319999999985,9105286.907130703,ISR
35220.08400000002,22051978.36473016,ITA
94277.96499999998,1042737.6712720671,LUX
27936.896000000004,4807414.338908184,PRT
31400.840000000004,1844797.4646641596,SVN
54225.445999999996,148666599.6274786,USA
